,Task ID,TF1,TF2,TF3,TF16,TF17,TF19,TF20,TF21,TF23,TF27,TF32,TF33,TF37,TF52,TF67,TF69,TF85,TF105,TF113,SF1,SF2,SF3,SF4,SF5,SF6,SF7,SF8,SF9,SF10,SF11,SF12,SF13,SF14,SF15,SF16,SF17,SF18
0,2019-05-30,1.0,-0.583542250405545,0.0224451756717372,-0.5591933570581258,-0.3506722335005936,1.0,0.9617918313570488,-0.3790702437026412,0.4210526315789473,-0.5992885275060349,-0.8770258932326702,-0.6470828541938045,-0.0459991576914133,-0.4449860724233982,-0.9994246827408704,-0.9994998749687422,-0.7708941718996776,-0.9259393063583816,0.3056731583403895,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
2,2019-11-29,-0.2577903682719547,-0.1066214422651528,0.2271679818950012,-0.4242783708975874,-0.6428544068640594,0.662731871838111,-0.9512516469038208,-0.0014335449518734,0.5789473684210527,-0.5992885275060349,-0.4672177968175968,-0.274161779500166,-0.1226198058302143,-0.3586350974930361,-0.9993074453506836,-0.9989997499374844,-0.7001800116303324,-0.9390655105973024,0.3666384419983064,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
3,2020-01-03,0.3286118980169972,-0.050582509954284,0.3640020941708211,-0.4358244365361798,-0.6279158846286437,0.662731871838111,0.8866930171277998,-0.0174073315584677,0.5614035087719298,-0.5992885275060349,-0.6225160120935662,-0.4947937205583121,0.0253487374770688,-0.2889972144846796,-0.9993540297441352,-0.9989997499374844,-0.7128379258725415,-0.9367774566473988,0.1447925486875529,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
4,2020-01-07,0.5722379603399435,-0.1720985105441677,0.2891632014983643,-0.3538948200869907,-0.624851572375225,0.662731871838111,0.8866930171277998,-0.1472455457710419,0.4912280701754383,-0.5992885275060349,-0.6989114577060468,-0.5384417324332174,-0.0210393524831278,-0.2917827298050138,-0.9995333796589246,-0.9994998749687422,-0.7889175458554317,-0.9301541425818882,0.231160033869602,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
6,2020-01-09,0.6402266288951841,-0.1452588113847515,0.3026464543243889,-0.384578884934756,-0.6255410426322443,0.662731871838111,0.8866930171277998,-0.1189842310055291,0.5087719298245612,-0.5992885275060349,-0.7262862959759875,-0.5763956433694201,0.0764413102281591,-0.2855153203342617,-0.9994844660458002,-0.9989997499374844,-0.7811069619033031,-0.9317196531791908,0.1295512277730737,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
7,2020-01-10,0.2039660056657224,-0.0892198790738829,0.3468356149643725,-0.4309213127718472,-0.6210211820584517,0.662731871838111,0.8866930171277998,-0.063690354290395,0.5789473684210527,-0.5992885275060349,-0.7275105828715548,-0.5866661037829082,0.2969720721565705,-0.2841225626740946,-0.9994448693113662,-0.9994998749687422,-0.7450022153837276,-0.9348506743737958,0.2531752751905165,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
10,2020-01-16,-0.0849858356940509,0.0567762866833798,0.470395055317051,-0.5599841834717285,-0.6002604665415405,0.662731871838111,0.8866930171277998,0.0669670284661068,0.5789473684210527,-0.5992885275060349,-0.6918512333071877,-0.5432504921961131,0.4925066405006353,-0.2743732590529247,-0.9993765455343036,-1.0,-0.6329623994188824,-0.9415944123314066,0.8137171888230312,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
11,2020-01-17,0.9263456090651558,0.0555965196873615,0.459468469205659,-0.5169632265717663,-0.6210211820584517,0.662731871838111,0.8866930171277998,0.0677861970100353,0.5964912280701755,-0.5992885275060349,-0.6494555436782948,-0.5009422721289436,0.3336245747402544,-0.2743732590529247,-0.99935247693102,-0.9994998749687422,-0.6432933766243295,-0.9415944123314066,0.3581710414902623,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
12,2020-01-22,0.1869688385269121,0.121368529715381,0.5046808612388467,-0.5279557137208393,-0.6174206151606849,0.662731871838111,0.8866930171277998,0.1026008601269712,0.5614035087719298,-0.5992885275060349,-0.6488889272803544,-0.4985544717650797,0.45826013868608,-0.2736768802228412,-0.9993454892720024,-0.9994998749687422,-0.603154704653388,-0.9442437379576109,0.7696867061812023,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
13,2020-01-24,0.546742209631728,0.1895000737354371,0.5372583243325939,-0.5379992091735861,-0.6288351783046693,0.662731871838111,0.8866930171277998,0.1460167929551508,0.5964912280701755,-0.5992885275060349,-0.613839186096029,-0.46596163832391,0.4439015811690185,-0.2910863509749303,-0.999255426111329,-0.9989997499374844,-0.5657687225610071,-0.9467726396917148,0.6223539373412361,-0.8181818181818181,-0.0526315789473683,-0.0526315789473683,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,0.3333333333333332,-0.7073170731707317,-0.0526315789473683,-0.6326530612244898,-0.0526315789473683,0.1428571428571428,-0.0526315789473683,-0.0526315789473683,-0.5384615384615385,0.2000000000000001,-0.996,0.5
